Species,Length,Value
종로구,방범,1586
종로구,어린이보호구역,45
종로구,공원놀이터,177
중구,방범,1680
중구,어린이보호구역,76
중구,공원놀이터,208
용산구,방범,2245
용산구,어린이보호구역,235
용산구,공원놀이터,167
성동구,방범,2720
성동구,어린이보호구역,490
성동구,공원놀이터,222
광진구,방범,2445
광진구,어린이보호구역,625
광진구,공원놀이터,223
동대문구,방범,2063
동대문구,어린이보호구역,282
동대문구,공원놀이터,219
중랑구,방범,3514
중랑구,어린이보호구역,141
중랑구,공원놀이터,190
성북구,방범,3051
성북구,어린이보호구역,444
성북구,공원놀이터,256
강북구,방범,2644
강북구,어린이보호구역,351
강북구,공원놀이터,189
도봉구,방범,1489
도봉구,어린이보호구역,151
도봉구,공원놀이터,319
노원구,방범,1405
노원구,어린이보호구역,260
노원구,공원놀이터,500
은평구,방범,2880
은평구,어린이보호구역,750
은평구,공원놀이터,473
서대문구,방범,2243
서대문구,어린이보호구역,132
서대문구,공원놀이터,631
마포구,방범,2063
마포구,어린이보호구역,195
마포구,공원놀이터,202
양천구,방범,2428
양천구,어린이보호구역,831
양천구,공원놀이터,350
강서구,방범,2550
강서구,어린이보호구역,288
강서구,공원놀이터,348
구로구,방범,3129
구로구,어린이보호구역,546
구로구,공원놀이터,412
금천구,방범,2164
금천구,어린이보호구역,268
금천구,공원놀이터,252
영등포구,방범,3343
영등포구,어린이보호구역,286
영등포구,공원놀이터,191
동작구,방범,1812
동작구,어린이보호구역,400
동작구,공원놀이터,171
관악구,방범,3534
관악구,어린이보호구역,258
관악구,공원놀이터,306
서초구,방범,2682
서초구,어린이보호구역,204
서초구,공원놀이터,294
강남구,방범,4851
강남구,어린이보호구역,1157
강남구,공원놀이터,487
송파구,방범,1711
송파구,어린이보호구역,449
송파구,공원놀이터,661
강동구,방범,2667
강동구,어린이보호구역,237
강동구,공원놀이터,184
